区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,崇文门东大街 ,66.52平米,南 ,605,90951,房本满五年,精装,顶层(共12层),1980年建,崇文门东大街,,-
东城,中海紫御公馆 ,83.93平米,东,882,105088,房本满五年,简装,低楼层(共23层),2010年建,中海紫御公馆,,-
东城,东直门内大街 ,60.03平米,,620,103282,房本满五年,简装,中楼层(共14层),2003年建,东直门内大街,,-
东城,华龙美晟 ,100.06平米,,780,77954,房本满五年,简装,低楼层(共12层),2009年建,华龙美晟,,-
东城,东总布胡同 ,39.34平米,,380,96594,,简装,地下室(共6层),1990年建,东总布胡同,,-
东城,帽儿胡同45号院 ,50.26平米,,753,149821,,精装,中楼层(共5层),1985年建,帽儿胡同45号院,,-
东城,东四北大街 ,73.25平米,东 ,680,92833,,简装,中楼层(共12层),1992年建,东四北大街,,-
东城,国瑞城中区 ,56.58平米,,600,106045,,精装,低楼层(共16层),2006年建,国瑞城中区,,-
东城,凯景铭座 ,137.93平米,东,1330,96426,,精装,高楼层(共19层),2001年建,凯景铭座,,-
东城,安德路乙61号院 ,52.64平米,南 ,660,125380,,精装,低楼层(共12层),1989年建,安德路乙61号院,,-
东城,国瑞城东区 ,82.38平米,南 ,916,111193,,简装,中楼层(共8层),2006年建,国瑞城东区,,-
东城,东方银座 ,79.79平米,,660,82718,,简装,中楼层(共25层),2003年建,东方银座,,-
东城,青年湖北里 ,62.66平米,东 ,520,82988,,简装,顶层(共6层),1988年建,青年湖北里,,-
东城,安外西河沿 ,50.3平米,东 ,538,106959,,简装,中楼层(共6层),1983年建,安外西河沿,,-
东城,安圣苑 ,99.04平米,,785,79261,,精装,中楼层(共18层),2000年建,安圣苑,,-
东城,南门仓胡同 ,68.42平米,南 ,910,133003,房本满五年,精装,中楼层(共6层),2003年建,南门仓胡同,,-
东城,保利蔷薇 ,62.32平米,东,660,105906,房本满五年,精装,中楼层(共16层),2008年建,保利蔷薇,,-
东城,北官厅胡同 ,60.34平米,南 ,600,99437,房本满五年,精装,顶层(共5层),1988年建,北官厅胡同,,-
东城,富贵园一区 ,58.23平米,北 ,738,126739,房本满五年,简装,高楼层(共12层),2004年建,富贵园一区,,-
东城,灯市口西街 ,61.47平米,东 ,610,99236,房本满五年,精装,中楼层(共6层),1989年建,灯市口西街,,-
东城,和平里三区 ,40.57平米,西,470,115850,房本满五年,其他,底层(共6层),1996年建,和平里三区,,-
东城,和平里二区 ,90.16平米,,960,106478,房本满五年,其他,低楼层(共21层),2006年建,和平里二区,,-
东城,外交部街 ,42.26平米,,497,117606,房本满五年,精装,低楼层(共6层),1990年建,外交部街,,-
东城,左安浦园 ,49.36平米,,420,85090,房本满五年,简装,中楼层(共16层),2004年建,左安浦园,,-
东城,东环居苑 ,63.6平米,,560,88051,房本满五年,简装,中楼层(共22层),2004年建,东环居苑,,-
东城,豆瓣胡同 ,71.04平米,,950,133728,房本满五年,其他,中楼层(共10层),2003年建,豆瓣胡同,,-
东城,金世纪嘉园 ,64.01平米,西,525,82019,房本满五年,精装,中楼层(共21层),2006年建,金世纪嘉园,,-
东城,化工大院 ,57.09平米,南 ,600,105098,房本满五年,简装,顶层(共5层),1988年建,化工大院,,-
东城,交林 ,29.84平米,,450,150805,房本满五年,精装,底层(共5层),1988年建,交林,,-
东城,和平新城一期 ,119.55平米,南 北 ,1199,100293,房本满五年,精装,高楼层(共20层),2003年建,和平新城一期,,-
东城,广渠门内大街 ,64.18平米,南 ,598,93176,房本满五年,精装,中楼层(共13层),1980年建,广渠门内大街,,-
东城,巷上嘉园 ,64.78平米,,650,100340,房本满五年,精装,中楼层(共24层),2005年建,巷上嘉园,,-
东城,安化北里 ,68.62平米,东,595,86710,,精装,低楼层(共17层),1980年建,安化北里,,-
东城,雍和家园一期 ,179.61平米,南 ,1650,91866,,简装,中楼层(共16层),2003年建,雍和家园一期,,-
东城,交道口北二条35号院 ,70.12平米,南 ,828,118084,,精装,顶层(共6层),1988年建,交道口北二条35号院,,-
东城,北河沿大街 ,80.79平米,南 ,955,118208,,毛坯,低楼层(共6层),1987年建,北河沿大街,,-
东城,光明楼 ,70.72平米,南 ,698,98700,,其他,低楼层(共6层),1992年建,光明楼,,-
东城,贡院九号 ,156.83平米,,1360,86719,,精装,高楼层(共18层),2000年建,贡院九号,,-
东城,新景家园西区 ,58.45平米,,590,100941,,其他,高楼层(共16层),2004年建,新景家园西区,,-
东城,新世界家园 ,112.47平米,西,1300,115587,,简装,低楼层(共12层),2004年建,新世界家园,,-
东城,民安小区东直门内北小街 ,80.86平米,东 ,720,89043,,精装,低楼层(共16层),2003年建,民安小区东直门内北小街,,-
东城,交道口北二条35号院 ,70.12平米,南 ,880,125500,,简装,高楼层(共6层),1988年建,交道口北二条35号院,,-
东城,东直门南大街 ,57.14平米,东 ,576,100806,,精装,低楼层(共18层),1990年建,东直门南大街,,-
东城,鼓楼外大街52号 ,64.32平米,东 ,750,116605,,精装,11层,1994年建,鼓楼外大街52号,,-
东城,交道口东大街 ,74.03平米,东 ,950,128327,,精装,高楼层(共10层),2003年建,交道口东大街,,-
东城,民安小区东直门北中街 ,60.2平米,东 ,650,107974,房本满五年,其他,中楼层(共6层),1988年建,民安小区东直门北中街,,-
东城,东花市北里东区 ,100.86平米,东 南 ,958,94984,房本满五年,精装,底层(共5层),1992年建,东花市北里东区,,-
东城,国瑞城西区 ,104.55平米,西,820,78432,房本满五年,精装,高楼层(共16层),2009年建,国瑞城西区,,-
东城,东交民巷32号院 ,49.98平米,东 ,599,119848,房本满五年,精装,低楼层(共13层),1979年建,东交民巷32号院,,-
东城,东总布胡同19号院 ,74.14平米,西,800,107904,房本满五年,简装,中楼层(共6层),1992年建,东总布胡同19号院,,-
东城,新裕家园 ,102.06平米,南 ,1065,104351,房本满五年,精装,中楼层(共17层),2004年建,新裕家园,,-
东城,金桥国际 ,55.54平米,西,499,89846,房本满五年,精装,低楼层(共19层),2004年建,金桥国际,,-
东城,康鸿家园 ,155.4平米,南 ,1680,108109,房本满五年,简装,低楼层(共6层),2000年建,康鸿家园,,-
东城,白桥大街 ,55.14平米,东 ,510,92492,房本满五年,简装,低楼层(共6层),1980年建,白桥大街,,-
东城,芳嘉园胡同 ,56.21平米,,630,112080,房本满五年,简装,底层(共6层),2004年建,芳嘉园胡同,,-
东城,元嘉国际公寓 ,117.2平米,南 ,1020,87031,房本满五年,精装,中楼层(共10层),2003年建,元嘉国际公寓,,-
东城,长青园 ,61.55平米,南 ,550,89359,房本满五年,精装,底层(共6层),1992年建,长青园,,-
东城,保利蔷薇 ,97.11平米,东 ,1050,108125,房本满五年,精装,低楼层(共16层),2007年建,保利蔷薇,,-
东城,东直门外小街10号院 ,54.67平米,南 ,479,87617,房本满五年,简装,底层(共6层),1988年建,东直门外小街10号院,,-
东城,太华公寓 ,112.97平米,西,745,65947,房本满五年,简装,中楼层(共18层),2000年建,太华公寓,,-
东城,青年湖东里 ,66.74平米,东 ,633,94846,房本满五年,简装,中楼层(共18层),1988年建,青年湖东里,,-
东城,太华公寓 ,107.22平米,,658,61370,房本满五年,简装,中楼层(共17层),2000年建,太华公寓,,-
东城,交道口东大街 ,93.23平米,南 西 ,980,105117,房本满五年,精装,底层(共12层),2003年建,交道口东大街,,-
东城,前门东大街 ,49.42平米,,480,97127,房本满五年,简装,低楼层(共12层),1979年建,前门东大街,,-
东城,当代MOMA ,105.54平米,,990,93804,房本满五年,精装,高楼层(共21层),2006年建,当代MOMA,,-
东城,兴化西里 ,74.37平米,南 ,690,92780,房本满五年,简装,中楼层(共5层),1976年建,兴化西里,,-
东城,东直门内北小街8号院 ,63.22平米,东 ,650,102816,房本满五年,简装,低楼层(共13层),2003年建,东直门内北小街8号院,,-
东城,华龙美晟 ,58.58平米,西,420,71697,房本满五年,精装,中楼层(共12层),2009年建,华龙美晟,,-
东城,安外东河沿 ,72.91平米,南 ,525,72007,,简装,地下室(共6层),1998年建,安外东河沿,,-
东城,青年湖东里 ,72.81平米,南 ,699,96004,,简装,底层(共6层),1986年建,青年湖东里,,-
东城,中海紫御公馆 ,82.57平米,,789,95556,,精装,底层(共19层),2010年建,中海紫御公馆,,-
东城,西四块玉 ,48.95平米,,430,87845,,精装,中楼层(共6层),1978年建,西四块玉,,-
东城,光明楼 ,59.43平米,南 西 ,570,95912,,简装,中楼层(共6层),1991年建,光明楼,,-
东城,北竹杆胡同 ,55.19平米,,560,101468,,简装,底层(共6层),2003年建,北竹杆胡同,,-
东城,桃杨路北里12号院 ,82.64平米,南 ,630,76235,,精装,中楼层(共6层),1999年建,桃杨路北里12号院,,-
东城,东环居苑 ,56.23平米,,533,94790,房本满五年,精装,中楼层(共22层),2004年建,东环居苑,,-
东城,海晟名苑北区 ,74.62平米,,720,96489,房本满五年,精装,22层,2007年建,海晟名苑北区,,-
东城,万国城MOMA ,85.81平米,,1000,116537,房本满五年,精装,低楼层(共26层),2002年建,万国城MOMA,,-
东城,新中西街 ,78.73平米,东 西 ,668,84847,房本满五年,精装,中楼层(共7层),1990年建,新中西街,,-
东城,太华公寓 ,67.06平米,,536,79929,房本满五年,精装,低楼层(共18层),2000年建,太华公寓,,-
东城,金世纪嘉园 ,65.7平米,,570,86758,房本满五年,精装,中楼层(共21层),2004年建,金世纪嘉园,,-
东城,南岗子 ,41.34平米,,395,95550,房本满五年,精装,顶层(共6层),1988年建,南岗子,,-
东城,西营房 ,85.07平米,,798,93806,房本满五年,简装,中楼层(共19层),2006年建,西营房,,-
东城,朝阳门南小街 ,55.1平米,,630,114338,房本满五年,简装,15层,2004年建,朝阳门南小街,,-
东城,李村东里 ,54.73平米,南 ,410,74914,房本满五年,精装,高楼层(共6层),1979年建,李村东里,,-
东城,建国门北大街5号 ,66.1平米,,465,70348,房本满五年,精装,低楼层(共24层),2008年建,建国门北大街5号,,-
东城,豆瓣胡同 ,60.31平米,南 ,745,123529,房本满五年,精装,高楼层(共10层),2003年建,豆瓣胡同,,-
东城,东花市北里中区 ,48.72平米,,455,93391,房本满五年,简装,低楼层(共6层),1994年建,东花市北里中区,,-
东城,青年湖东里 ,38.27平米,,430,112360,房本满五年,精装,顶层(共5层),1980年建,青年湖东里,,-
东城,幸福家园二期 ,72.88平米,,825,113200,房本满五年,简装,高楼层(共13层),2003年建,幸福家园二期,,-
东城,安定门东大街 ,43.55平米,,500,114811,,精装,中楼层(共6层),1985年建,安定门东大街,,-
东城,新怡家园 ,61.27平米,,765,124858,,其他,低楼层(共15层),2006年建,新怡家园,,-
东城,西革新里110号院 ,44.44平米,,332,74708,,简装,中楼层(共6层),1992年建,西革新里110号院,,-
东城,香饵胡同 ,70.43平米,东 ,880,124947,,简装,底层(共6层),2002年建,香饵胡同,,-
东城,青年沟 ,75.1平米,南 ,659,87750,,简装,底层(共6层),1995年建,青年沟,,-
东城,新景家园西区 ,61.77平米,东,670,108467,,简装,低楼层(共17层),2004年建,新景家园西区,,-
东城,安外花园 ,53.24平米,,535,100489,,简装,中楼层(共5层),1986年建,安外花园,,-
东城,兴化西里 ,58.62平米,南 ,580,98943,,简装,底层(共4层),1976年建,兴化西里,,-
东城,仓南胡同 ,77.66平米,东 ,815,104945,,简装,高楼层(共7层),2003年建,仓南胡同,,-
东城,民安小区东扬威街 ,71.4平米,,728,101961,,精装,底层(共12层),2002年建,民安小区东扬威街,,-
东城,聚龙花园 ,255.97平米,东 ,1800,70321,,简装,中楼层(共14层),1996年建,聚龙花园,,-
东城,使馆壹号院 ,225.7平米,南 ,3400,150643,,精装,低楼层(共19层),2017年建,使馆壹号院,,-
